frame,screen_x,screen_y
0,634.0000152587891,360.0
1,634.0200042724609,360.0
2,634.0399932861328,360.0
3,634.0599822998047,360.0
4,634.0800094604492,360.0
5,634.0999984741211,360.0
6,634.119987487793,360.0
7,634.1400146484375,360.0
8,634.1600036621094,360.0
9,634.1799926757812,360.0
10,634.1999816894531,360.0
11,634.2200088500977,360.0
12,634.2399978637695,360.0
13,634.2599868774414,360.0
14,634.2800140380859,360.0
15,634.3000030517578,360.0
16,634.3199920654297,360.0
17,634.3400192260742,360.0
18,634.3600082397461,360.0
19,634.379997253418,360.0
20,634.3999862670898,360.0
21,634.4200134277344,360.0
22,634.4400024414062,360.0
23,634.4599914550781,360.0
24,634.4800186157227,360.0
25,634.5000076293945,360.0
26,634.5199966430664,360.0
27,634.5399856567383,360.0
28,634.5600128173828,360.0
29,634.5800018310547,360.0
30,634.5999908447266,360.0
31,634.6200180053711,360.0
32,634.640007019043,360.0
33,634.6599960327148,360.0
34,634.6799850463867,360.0
35,634.7000122070312,360.0
36,634.7200012207031,360.0
37,634.739990234375,360.0
38,634.7600173950195,360.0
39,634.7800064086914,360.0
40,634.7999954223633,360.0
41,634.8199844360352,360.0
42,634.8400115966797,360.0
43,634.8600006103516,360.0
44,634.8799896240234,360.0
45,634.900016784668,360.0
46,634.9200057983398,360.0
47,634.9399948120117,360.0
48,634.9599838256836,360.0
49,634.9800109863281,360.0
50,635.0,360.0
51,635.0199890136719,360.0
52,635.0400161743164,360.0
53,635.0600051879883,360.0
54,635.0799942016602,360.0
55,635.099983215332,360.0
56,635.1200103759766,360.0
57,635.1399993896484,360.0
58,635.1599884033203,360.0
59,635.1800155639648,360.0
60,635.2000045776367,360.0
61,635.2199935913086,360.0
62,635.2399826049805,360.0
63,635.260009765625,360.0
64,635.2799987792969,360.0
65,635.2999877929688,360.0
66,635.3200149536133,360.0
67,635.3400039672852,360.0
68,635.359992980957,360.0
69,635.3799819946289,360.0
70,635.4000091552734,360.0
71,635.4199981689453,360.0
72,635.4399871826172,360.0
73,635.4600143432617,360.0
74,635.4800033569336,360.0
75,635.4999923706055,360.0
76,635.52001953125,360.0
77,635.5400085449219,360.0
78,635.5599975585938,360.0
79,635.5799865722656,360.0
80,635.6000137329102,360.0
81,635.620002746582,360.0
82,635.6399917602539,360.0
83,635.6600189208984,360.0
84,635.6800079345703,360.0
85,635.6999969482422,360.0
86,635.7199859619141,360.0
87,635.7400131225586,360.0
88,635.7600021362305,360.0
89,635.7799911499023,360.0
90,635.8000183105469,360.0
91,635.8200073242188,360.0
92,635.8399963378906,360.0
93,635.8599853515625,360.0
94,635.880012512207,360.0
95,635.9000015258789,360.0
96,635.9199905395508,360.0
97,635.9400177001953,360.0
98,635.9600067138672,360.0
99,635.9799957275391,360.0
100,635.9999847412109,360.0
101,636.0200119018555,360.0
102,636.0400009155273,360.0
